title,title_link,image,price,size,ram,weight,Additional specs,color
"MSI GF65 Thin Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/144 Hz) GF65 Thin 10UE-410IN Gaming Laptop  (15.6 inch, Black, 1.86 kg)",https://www.flipkart.com/msi-gf65-thin-core-i7-10th-gen-16-gb-1-tb-ssd-windows-10-home-6-gb-graphics-nvidia-geforce-rtx-3060-144-hz-10ue-410in-gaming-laptop/p/itm4883b261a85ea,https://rukminim1.flixcart.com/image/612/612/ktszgy80/computer/a/4/a/gf65-thin-10ue-410in-gaming-laptop-msi-original-imag72h6wn7ktgzy.jpeg?q=70,"₹89,990",15.6 inch,16 GB,1.86 kg,,Black
"ASUS TUF Gaming F17 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) FX706HCB-HX191T Gaming Laptop  (17.3 inch, Graphite Black, 2.60 kg)",https://www.flipkart.com/asus-tuf-gaming-f17-core-i7-11th-gen-16-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fx706hcb-hx191t-laptop/p/itm4d380fba768f4,https://rukminim1.flixcart.com/image/612/612/l3rmzrk0/computer/n/p/z/-original-imagetjf9pgwyyp9.jpeg?q=70,"₹87,990",17.3 inch,16 GB,2.60 kg,,Graphite Black
"HP Pavilion Gaming Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 hz) 15-DK2100TX Gaming Laptop  (15.6 inches, Shadow Black & Ultra Violet, 2.28 kg, With MS Office)",https://www.flipkart.com/hp-pavilion-gaming-core-i5-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-dk2100tx-laptop/p/itm3e87dbc5f071a,https://rukminim1.flixcart.com/image/612/612/krjjde80/computer/b/q/h/na-gaming-laptop-hp-original-imag5bg5uwgmhmqj.jpeg?q=70,"₹65,990",15.6 inches,8 GB,2.28 kg,With MS Office,Shadow Black & Ultra Violet
"Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15IHU6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg)",https://www.flipkart.com/lenovo-ideapad-gaming-3-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-120-hz-15ihu6-laptop/p/itme9af20e47eba2?pid=COMG6ZFCQGXNT3KR&lid=LSTCOMG6ZFCQGXNT3KR69WK2V&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_3&otracker=browse&iid=89ad3a2d-d625-4cab-ab2e-e8c96197301d.COMG6ZFCQGXNT3KR.SEARCH&ssid=qcxeb9zb800000001656258792149,https://rukminim1.flixcart.com/image/612/612/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70,"₹57,990",15.6 inch,8 GB,2.25 kg,,Shadow Black
"HP OMEN Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070) 16-b0370TX Gaming Laptop  (16.1 inch, Shadow Black, 2.32 kg, With MS Office)",https://www.flipkart.com/hp-omen-core-i7-11th-gen-16-gb-1-tb-ssd-windows-10-home-8-gb-graphics-nvidia-geforce-rtx-3070-16-b0370tx-gaming-laptop/p/itm17f839dcfbb18,https://rukminim1.flixcart.com/image/612/612/kzn17680/computer/1/i/z/-original-imagbhzqahdzyx4e.jpeg?q=70,"₹1,71,990",16.1 inch,16 GB,2.32 kg,With MS Office,Shadow Black
"MSI Alpha 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/AMD Radeon RX6600M/144 Hz) Alpha 15 B5EEK-029IN Gaming Laptop  (15.6 inch, Black, 2.35 kg)",https://www.flipkart.com/msi-alpha-15-ryzen-7-octa-core-5800h-16-gb-1-tb-ssd-windows-10-home-8-gb-graphics-amd-radeon-rx6600m-144-hz-b5eek-029in-gaming-laptop/p/itm3df644c09e208,https://rukminim1.flixcart.com/image/612/612/ktszgy80/computer/h/0/f/alpha-15-b5eek-029in-gaming-laptop-msi-original-imag72h7uptk3x9t.jpeg?q=70,"₹92,990",15.6 inch,16 GB,2.35 kg,,Black
"acer Predator Helios 300 Core i7 11th Gen - (16 GB/1 TB HDD/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/165 Hz) PH315-54 Gaming Laptop  (15.6 inch, Abyssal Black, 2.3 kg)",https://www.flipkart.com/acer-predator-helios-300-core-i7-11th-gen-16-gb-1-tb-hdd-512-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-3060-165-hz-ph315-54-gaming-laptop/p/itm8174f86902eaa?pid=COMG5ZEZ8W9XJVRN&lid=LSTCOMG5ZEZ8W9XJVRNDSPJDE&marketplace=FLIPKART&q=acer+Predator+Helios+300&store=search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=33fc0b3b-8d05-4291-be1c-bdbad0ab1aed.COMG5ZEZ8W9XJVRN.SEARCH&ppt=pp&ppn=pp&ssid=0hjzb4c1280000001656259865709&qH=e24504bb74e1c2e2,https://rukminim1.flixcart.com/image/612/612/ksgehzk0/computer/r/c/k/predator-helios-300-gaming-laptop-acer-original-imag6yjdmwdrksyn.jpeg?q=70,"₹1,12,990",15.6 inch,16 GB,2.3 kg,,Abyssal Black
"MSI Katana GF66 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) Katana GF66 11UC-628IN Gaming Laptop  (15.6 inches, Black, 2.25 kg)",https://www.flipkart.com/msi-katana-gf66-core-i7-11th-gen-16-gb-1-tb-ssd-windows-10-home-4-gb-graphics-nvidia-geforce-rtx-3050-144-hz-11uc-628in-gaming-laptop/p/itm395edcb2da9bb,https://rukminim1.flixcart.com/image/612/612/ku4ezrk0/computer/a/d/g/katana-gf66-11uc-628in-gaming-laptop-msi-original-imag7bqh9csb6n9t.jpeg?q=70,"₹91,490",15.6 inches,16 GB,2.25 kg,,Black
"ASUS ROG Flow X13 Ryzen 7 Octa Core 5800HS - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) GV301QH-K6463TS 2 in 1 Gaming Laptop  (13.4 inch, Off Black, 1.30 kg, With MS Office)",https://www.flipkart.com/asus-rog-flow-x13-ryzen-7-octa-core-5800hs-16-gb-1-tb-ssd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-120-hz-gv301qh-k6463ts-2-1-gaming-laptop/p/itma931643df91fc,https://rukminim1.flixcart.com/image/612/612/koixwnk0/computer/b/i/z/na-gaming-laptop-asus-original-imag2ygghykjhv95.jpeg?q=70,"₹99,990",13.4 inch,16 GB,1.30 kg,With MS Office,Off Black
"DELL Inspiron 5518 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) Inspiron 5518 Laptop (15.6 inch, Silver, 1.65 kg, With MS Office)",https://www.flipkart.com/dell-inspiron-5518-core-i5-11th-gen-16-gb-512-gb-ssd-windows-10-home-laptop/p/itm0e24ec3bf1fff,https://rukminim1.flixcart.com/image/612/612/knxiavk0/computer/i/v/w/dell-inspiron-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-2-original-imag2g5fyfty7ezc.jpeg?q=70,"₹70,990",15.6 inch,16 GB,1.65 kg,With MS Office,Silver
